Date,Team,Opponent,Team Score,Opponent Score,Location,Team Margin,Team Result,Team Location,Team Avg Scoring Margin,Opponent Average Scoring Margin
3/9/13,West Virginia,Iowa St,74,83,West Virginia,-9,Loss,Home,-1.94,9.23
3/9/13,Yale,Penn,79,65,Yale,14,Win,Home,-3.14,-5.23
3/9/13,Penn,Yale,65,79,Yale,-14,Loss,Away,-5.23,-3.14
3/8/13,Kent,Akron,68,64,Akron,4,Win,Away,4.06,9.13
3/8/13,Akron,Kent,64,68,Akron,-4,Loss,Home,9.13,4.06
3/8/13,Bowling Green,Buffalo,76,65,Bowling Green,11,Win,Home,-0.83,-2.57
3/8/13,Buffalo,Bowling Green,65,76,Bowling Green,-11,Loss,Away,-2.57,-0.83
3/8/13,Penn,Brown,66,64,Brown,2,Win,Away,-5.23,-3.30
3/8/13,Brown,Penn,64,66,Brown,-2,Loss,Home,-3.30,-5.23
3/8/13,Dartmouth,Cornell,76,62,Dartmouth,14,Win,Home,-6.04,-4.90
3/8/13,Cornell,Dartmouth,62,76,Dartmouth,-14,Loss,Away,-4.90,-6.04
3/8/13,Harvard,Columbia,56,51,Harvard,5,Win,Home,4.70,0.23
3/8/13,Columbia,Harvard,51,56,Harvard,-5,Loss,Away,0.23,4.70
3/8/13,Mercer,SC Upstate,72,64,Mercer,8,Win,Home,5.41,0.77
3/8/13,SC Upstate,Mercer,64,72,Mercer,-8,Loss,Away,0.77,5.41
3/8/13,Rutgers,Seton Hall,56,51,Seton Hall,5,Win,Away,-1.24,-0.19
3/8/13,Seton Hall,Rutgers,51,56,Seton Hall,-5,Loss,Home,-0.19,-1.24
3/8/13,Yale,Princeton,71,66,Yale,5,Win,Home,-3.14,4.50
3/8/13,Princeton,Yale,66,71,Yale,-5,Loss,Away,4.50,-3.14
3/7/13,Cal Poly SLO,UC Riverside,68,62,Cal Poly SLO,6,Win,Home,0.96,-9.79
3/7/13,UC Riverside,Cal Poly SLO,62,68,Cal Poly SLO,-6,Loss,Away,-9.79,0.96
3/7/13,Colorado,Oregon,76,53,Colorado,23,Win,Home,4.80,7.90
3/7/13,Oregon,Colorado,53,76,Colorado,-23,Loss,Away,7.90,4.80
