Rank,Value,Player,Yr,Ht,Wt,Gms,Team
48,7.097,Chris Davenport,Fr,7-Jun,220,31,North Florida
49,6.893,Filip Cvjeticanin,Jr,9-Jun,218,28,Florida Gulf Coast
50,6.759,J.R. Holder,Fr,7-Jun,180,29,Jacksonville
51,6.448,Bernard Morena,Fr,8-Jun,200,29,Kennesaw State
52,6.167,Myles Hamilton,So,1-Jun,190,24,Kennesaw State
53,6.111,Daniel Camps,Fr,5-Jun,220,27,Northern Kentucky
54,6.097,Demarcus Daniels,So,7-Jun,190,31,North Florida
55,5.667,Cole Murray,Fr,7-Jun,190,30,Northern Kentucky
56,5.645,Yonel Brown,So,9-May,160,31,Kennesaw State
57,5.387,Dajuan Graf,So,Jun-00,170,31,Florida Gulf Coast
58,5.28,Carter Sanderson,Jr,1-Jun,170,25,Lipscomb
59,4.964,Talbott Denny,So,6-Jun,200,28,Lipscomb
60,4.931,Marcel White,Fr,6-Jun,200,29,Jacksonville
60,5.571,Kordario Fleming,So,6-Jun,210,7,Jacksonville
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,18.885,Melvin Ejim,Sr,6-Jun,220,26,Iowa State
2,18.034,Juwan Staten,Jr,1-Jun,190,29,West Virginia
3,18,Eron Harris,So,3-Jun,195,29,West Virginia
4,17.577,Marcus Smart,So,4-Jun,220,26,Oklahoma State
5,16.931,Markel Brown,Sr,3-Jun,190,29,Oklahoma State
6,16.69,Buddy Hield,So,4-Jun,208,29,Oklahoma
7,16.607,Kyan Anderson,Jr,11-May,175,28,TCU
7,16.607,DeAndre Kane,Sr,4-Jun,200,28,Iowa State
9,16.464,Georges Niang,So,7-Jun,240,28,Iowa State
10,16.276,Andrew Wiggins,Fr,8-Jun,200,29,Kansas
11,15.138,Marcus Foster,Fr,2-Jun,200,29,Kansas State
12,15,Cameron Clark,Sr,7-Jun,211,29,Oklahoma
13,14.448,Le`Bryan Nash,Jr,7-Jun,235,29,Oklahoma State
14,13.621,Jaye Crockett,,7-Jun,210,29,Texas Tech
15,13.207,Perry Ellis,So,8-Jun,225,29,Kansas
16,13.185,Jonathan Holmes,Jr,8-Jun,240,27,Texas
17,13.034,Cory Jefferson,Sr,9-Jun,220,29,Baylor
18,12.862,Phil Forte,So,11-May,185,29,Oklahoma State
19,12.69,Isaiah Taylor,Fr,1-Jun,170,29,Texas
20,12.464,Javan Felix,So,11-May,195,28,Texas
21,12.08,Terry Henderson,So,4-Jun,200,25,West Virginia
22,11.667,Thomas Gipson,Jr,7-Jun,265,27,Kansas State
23,11.448,Cameron Ridley,So,9-Jun,285,29,Texas
24,11.379,Brady Heslip,Sr,2-Jun,180,29,Baylor
25,11.179,Joel Embiid,Fr,Jul-00,250,28,Kansas
26,10.931,Jordan Tolbert,Jr,7-Jun,225,29,Texas Tech
27,10.897,Isaiah Cousins,So,4-Jun,186,29,Oklahoma
28,10.893,Kenny Chery,Jr,11-May,180,28,Baylor
29,10.724,Isaiah Austin,So,1-Jul,225,29,Baylor
30,10.621,Jordan Woodard,Fr,Jun-00,185,29,Oklahoma
31,10.5,Dustin Hogue,Jr,6-Jun,215,28,Iowa State
32,10.379,Wayne Selden Jr.,Fr,5-Jun,230,29,Kansas
33,10.103,Ryan Spangler,So,8-Jun,232,29,Oklahoma
34,9.889,Shane Southwell,Sr,7-Jun,215,27,Kansas State
35,9.586,Robert Turner,Jr,3-Jun,180,29,Texas Tech
36,8.929,Naadir Tharpe,Jr,11-May,170,28,Kansas
37,8.926,Karviar Shepherd,Fr,10-Jun,225,27,TCU
38,8.714,Jarvis Ray,Sr,6-Jun,195,28,TCU
39,8.571,Brandon Parrish,Fr,6-Jun,185,28,TCU
40,8.276,Dusty Hannahs,So,4-Jun,210,29,Texas Tech
41,8.138,Devin Williams,Fr,9-Jun,255,29,West Virginia
41,8.138,Will Spradling,Sr,2-Jun,185,29,Kansas State
43,7.571,Remi Dibo,Jr,7-Jun,225,28,West Virginia
44,7.552,Toddrick Gotcher,So,4-Jun,195,29,Texas Tech
45,7.31,Demarcus Holland,So,2-Jun,185,29,Texas
46,7.138,Taurean Prince,So,7-Jun,210,29,Baylor
47,7.034,Rico Gathers,So,8-Jun,270,29,Baylor
48,7,Dejan Kravic,,Jul-00,235,29,Texas Tech
48,7,Royce O`Neale,Jr,6-Jun,220,29,Baylor
50,6.862,Wesley Iwundu,Fr,7-Jun,195,29,Kansas State
51,6.679,Tyler Neal,Sr,7-Jun,234,28,Oklahoma
52,6.655,Brian Williams,Jr,5-Jun,210,29,Oklahoma State
53,6.429,Matt Thomas,Fr,3-Jun,200,28,Iowa State
54,6.321,Naz Long,So,4-Jun,205,28,Iowa State
54,6.321,Monte Morris,Fr,2-Jun,170,28,Iowa State
56,6.214,Kamari Murphy,So,8-Jun,220,28,Oklahoma State
57,6.172,Nino Williams,Jr,5-Jun,220,29,Kansas State
58,5.931,Gary Franklin,Sr,2-Jun,190,29,Baylor
59,5.897,Frank Mason,Fr,11-May,185,29,Kansas
60,5.893,Gary Browne,Jr,1-Jun,195,28,West Virginia
61,5.828,Connor Lammert,So,9-Jun,235,29,Texas
62,5.759,Nathan Adrian,Fr,9-Jun,230,29,West Virginia
62,5.313,Stevie Clark,Fr,11-May,175,16,Oklahoma State
63,5.143,Charles Hill Jr.,So,2-Jun,185,14,TCU
63,5.179,Frank Booker,Fr,4-Jun,198,28,Oklahoma
64,5,Je`lon Hornbeak,So,4-Jun,184,25,Oklahoma
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,26,Doug McDermott,Sr,8-Jun,225,28,Creighton
2,21.586,Bryce Cotton,Sr,1-Jun,165,29,Providence
3,17.533,D`Angelo Harrison,Jr,4-Jun,204,30,St. John's
4,16.964,Markel Starks,Sr,2-Jun,175,28,Georgetown
5,16.893,D`Vauntes Smith-Rive,So,3-Jun,218,28,Georgetown
5,16.7,Cleveland Melvin,Sr,8-Jun,208,20,DePaul
6,16.75,Kellen Dunham,So,6-Jun,185,28,Butler
7,16.621,Semaj Christon,So,3-Jun,190,29,Xavier
8,15.931,Brandon Young,Sr,4-Jun,192,29,DePaul
9,15.138,James Bell,Sr,6-Jun,220,29,Villanova
10,15.083,Fuquan Edwin,Sr,6-Jun,215,24,Seton Hall
11,14.897,Davante Gardner,Sr,8-Jun,290,29,Marquette
12,14.75,Khyle Marshall,Sr,6-Jun,216,28,Butler
13,14.345,JayVaughn Pinkston,Jr,7-Jun,240,29,Villanova
14,14.074,Sterling Gibbs,So,2-Jun,185,27,Seton Hall
15,14.069,Darrun Hilliard,Jr,6-Jun,215,29,Villanova
16,13.172,LaDontae Henton,Jr,6-Jun,215,29,Providence
17,12.655,Kadeem Batts,Sr,9-Jun,245,29,Providence
18,12.6,JaKarr Sampson,So,9-Jun,214,30,St. John's
19,12.393,Billy Garrett Jr.,Fr,5-Jun,194,28,DePaul
20,12.034,Tyler Harris,So,9-Jun,215,29,Providence
21,11.793,Jamil Wilson,Sr,7-Jun,230,29,Marquette
22,11.393,Justin Martin,Jr,6-Jun,205,28,Xavier
23,11.214,Ethan Wragge,Sr,7-Jun,225,28,Creighton
24,10.862,Matt Stainbrook,Jr,10-Jun,263,29,Xavier
25,11.538,Joshua Smith,Jr,10-Jun,350,13,Georgetown
25,10.815,Brian Oliver,Sr,7-Jun,225,27,Seton Hall
