,team,games,opp_points,opp_ppg,ft,fta,ftp,gm,to,topg
220,UC Davis,31.0,2408.0,77.7,439.0,631.0,69.6,31.0,373.0,12.0
221,Texas-Arlington,30.0,2332.0,77.7,519.0,737.0,70.4,30.0,414.0,13.8
222,Cal St. Northridge,32.0,2490.0,77.8,696.0,886.0,78.6,32.0,412.0,12.9
223,Fordham,29.0,2265.0,78.1,440.0,598.0,73.6,29.0,336.0,11.6
224,Cornell,28.0,2195.0,78.4,299.0,450.0,66.4,28.0,337.0,12.0
225,Lipscomb,30.0,2355.0,78.5,547.0,800.0,68.4,30.0,376.0,12.5
226,Southeast Mo. St.,32.0,2514.0,78.6,514.0,743.0,69.2,32.0,419.0,13.1
227,Austin Peay,30.0,2368.0,78.9,535.0,804.0,66.5,30.0,471.0,15.7
228,Jacksonville,30.0,2385.0,79.5,531.0,749.0,70.9,30.0,409.0,13.6
229,Prairie View,30.0,2387.0,79.6,431.0,670.0,64.3,30.0,436.0,14.5
230,LIU Brooklyn,29.0,2315.0,79.8,448.0,625.0,71.7,29.0,371.0,12.8
231,Grambling,27.0,2162.0,80.1,384.0,585.0,65.6,27.0,403.0,14.9
232,Mississippi Val.,31.0,2503.0,80.7,463.0,689.0,67.2,31.0,454.0,14.6
233,Central Ark.,29.0,2360.0,81.4,400.0,666.0,60.1,29.0,421.0,14.5
234,UT Martin,31.0,2526.0,81.5,502.0,692.0,72.5,31.0,361.0,11.6
235,Niagara,33.0,2709.0,82.1,646.0,947.0,68.2,33.0,450.0,13.6
236,Maine,29.0,2404.0,82.9,391.0,577.0,67.8,29.0,439.0,15.1
